date,AIR,MMM,DIS,UPS
2017/10/9,38.52046204,211.455307,97.98775482,113.549408
2017/10/10,38.361866,211.5236359,97.99758911,114.4896011
2017/10/11,38.09421921,211.2894287,96.98396301,115.265007
2017/10/12,38.25282288,212.3433685,95.38970184,115.8950272
2017/10/13,38.16360855,212.4702454,95.83255005,114.7222214
2017/10/16,38.05456924,213.4461365,96.57063293,114.7028351
2017/10/17,37.90588379,212.4995117,96.79698181,114.063118
2017/10/18,38.27264404,213.0070038,96.68873596,114.5186768
2017/10/19,38.14378357,213.953598,97.43665314,115.7496414
2017/10/20,38.49636841,215.9834595,97.82045746,116.0791931
2017/10/23,38.38712311,216.207901,97.13157654,116.0016556
2017/10/24,38.53609848,228.9920197,96.72809601,116.0210342
2017/10/25,38.43678284,231.9489594,96.24588013,114.9063873
2017/10/26,38.40697861,227.3232574,96.99380493,115.6624146
2017/10/27,38.34738922,229.0798645,96.74777222,117.0387726
2017/10/30,38.49636841,225.4495697,96.48206329,114.4605103
2017/10/31,38.62548447,224.6395569,96.25571442,113.9177322
2017/11/1,40.78072739,224.6298065,97.45632935,113.849884
2017/11/2,41.0389595,226.6303864,96.78713989,113.2780228
2017/11/3,40.12521744,226.6206207,97.07253265,111.9113541
2017/11/6,40.13515091,224.7566681,99.04075623,110.4186783
2017/11/7,40.30398941,224.5029449,99.99533844,110.4477615
2017/11/8,40.34371948,224.2882385,99.57216644,109.6529617
2017/11/9,40.09542084,222.8829651,101.0483322,109.0907898
2017/11/10,39.83718491,221.9656219,103.1149597,110.5652542
2017/11/13,39.80739212,222.7170715,103.075592,112.1080704
2017/11/14,39.65841293,223.8003082,101.5305405,111.3854828
2017/11/15,39.17174149,221.9168396,102.0422897,110.2332611
2017/11/16,39.69813919,223.8881378,101.9537125,111.0242004
2017/11/17,39.41011047,223.8295746,101.796257,110.2820892
2017/11/20,39.71800613,225.9082184,101.117218,110.5359573
2017/11/21,40.35364914,228.4455109,101.3632507,111.2390137
2017/11/22,40.3139267,227.1361542,101.1073837,111.0925522
2017/11/24,40.42317963,226.9399872,101.0089645,110.4773712
2017/11/27,40.50262451,229.5097046,101.1565857,111.8444366
2017/11/28,41.16807556,231.1084137,101.7667313,112.4791336
2017/11/29,41.08861923,233.442749,103.5676498,116.238533
2017/11/30,41.29719162,238.4743042,103.1543274,118.5918045
2017/12/1,40.88004684,236.5225067,103.5774918,117.4786377
2017/12/4,41.88317871,234.6687775,108.4685211,120.8083878
2017/12/5,41.90303802,233.6879578,105.5161896,117.5372238
2017/12/6,42.18113708,234.0900879,103.7841568,115.5061722
2017/12/7,42.4095726,235.6888123,103.5873413,116.9122925
2017/12/8,42.08181763,233.5604553,103.3988495,116.7462845
2017/12/11,41.46603394,234.7080078,105.9781189,115.2718277
2017/12/12,41.40644073,232.0402069,106.5733337,115.3792343
2017/12/13,41.37664413,234.5216522,106.7518997,115.6135941
2017/12/14,40.96943283,233.5113983,109.6882935,114.0902939
2017/12/15,42.36984253,233.4329529,110.3827057,115.2229996
2017/12/18,42.90616989,233.8448944,110.1446228,116.0139313
2017/12/19,42.48902512,233.8154602,110.9184036,116.1994629
2017/12/20,42.73732758,232.3736725,108.8153152,115.5452423
2017/12/21,43.65107346,230.2747345,108.6962662,115.7893524
2017/12/22,39.93650818,230.2256927,107.8034439,115.8479385
2017/12/26,39.87691879,230.9318848,107.2578278,115.4768829
2017/12/27,39.38031769,231.6674957,106.7816544,116.2775879
2017/12/28,39.32072067,231.196701,106.910614,116.248291
2017/12/29,39.02276611,230.8534241,106.6526947,116.3459396
2018/1/2,39.18167877,231.1182404,110.9084854,120.7595596
2018/1/3,38.87378693,231.1084137,111.3846512,123.4350815
2018/1/4,38.48643875,234.1293335,111.3350601,124.2357864
2018/1/5,38.5658989,235.9536438,110.7299194,124.6166077
2018/1/8,38.91351318,235.1885986,109.1426773,126.1301193
2018/1/9,38.46657181,236.6500092,109.0633163,126.0715332
2018/1/10,38.25800323,236.5126953,108.5970612,126.735527
2018/1/11,38.6453476,237.6602478,110.1049423,130.3191833
2018/1/12,41.44617081,239.7787933,111.573143,130.9343262
2018/1/16,40.74100113,240.0436249,109.8073349,129.7528229
2018/1/17,40.87011337,243.3489532,111.0771255,130.8562164
2018/1/18,40.70127106,241.1911621,109.5394897,130.4461212
2018/1/19,41.59180832,243.4175873,109.7081299,129.9481049
2018/1/22,40.82564545,242.5544891,110.2140656,129.7332764
2018/1/23,40.23858261,241.5834808,109.5295715,128.9618835
2018/1/24,40.43758774,242.9370117,109.6188507,128.5908203
2018/1/25,40.42764282,247.517395,109.668457,128.2002258
2018/1/26,40.77589417,253.6670685,111.2953796,129.5965881
2018/1/29,40.41769028,251.0973663,110.6505585,127.5655365
2018/1/30,39.7609787,246.7131195,109.2319641,125.0950775
2018/1/31,40.26844025,245.6930847,107.8034439,124.3236694
2018/2/1,39.62167358,243.1822205,109.6089249,116.6974716
2018/2/2,39.02466202,240.4653625,107.8331985,113.7290115
2018/2/5,37.20377731,226.9988251,103.865097,110.633606
2018/2/6,37.91024017,229.1468201,105.3233795,110.0574951
2018/2/7,37.37293243,228.7152557,103.9246216,109.2763214
2018/2/8,38.34804916,218.6128998,100.5418091,106.7082138
2018/2/9,38.86545944,220.888382,102.2679367,103.8862305
2018/2/12,39.54207611,224.7920227,102.5655441,103.8081055
2018/2/13,39.60177231,226.9203796,103.2897263,105.0286865
2018/2/14,40.6465416,227.5480804,103.7658997,104.0912857
2018/2/15,41.82066727,231.7213745,104.3412704,105.7610397
2018/2/16,42.28832626,233.4972534,105.6805038,104.7763062
2018/2/20,42.44752884,231.9187012,105.1348953,103.1120911
2018/2/21,43.18384171,229.0674286,104.2123108,103.1022491
2018/2/22,42.99478912,232.8362274,104.400795,103.4764557
2018/2/23,43.40274811,233.8425598,106.3947678,103.9983673
2018/2/26,43.52215195,240.8670959,108.9343491,106.4208221
2018/2/27,42.78583527,237.5521393,104.0337448,104.0771408
2018/2/28,42.36793137,232.3527985,102.3373871,102.8166733
2018/3/1,41.20375443,228.2386932,101.7520828,104.8058472
2018/3/2,42.27837753,227.2817078,102.1687317,103.7620239
2018/3/5,42.31818008,229.6889954,102.5853882,104.1953049
2018/3/6,42.8753891,230.5276031,104.1031876,108.1244202
2018/3/7,43.18384171,232.4120026,102.7639465,107.5434265
2018/3/8,43.57190323,233.1716766,103.2004395,107.139679
2018/3/9,44.67637634,238.1145172,103.8948669,108.6955719
2018/3/12,44.65647507,236.5852966,104.3313522,107.2480087
2018/3/13,44.16891098,234.3851929,102.9028397,107.6615982
2018/3/14,43.5121994,231.1491394,103.0714798,107.100296
2018/3/15,43.36294937,232.7079773,102.4167404,108.045639
2018/3/16,43.11419296,234.0398865,102.0496979,109.2174911
2018/3/19,42.60673141,228.4557343,100.670784,106.8048706
2018/3/20,42.73608398,229.3338165,100.5418091,106.3814316
2018/3/21,43.5121994,231.0011749,101.0080643,106.0072327
2018/3/22,42.6863327,220.1782227,99.79779053,102.8560562
2018/3/23,41.71121597,212.4729156,97.75421906,100.1086426
2018/3/26,43.4823494,217.2875061,99.84739685,102.1175079
2018/3/27,43.81070328,212.9760895,98.56768036,100.6108551
2018/3/28,43.30324554,213.637085,97.75421906,101.1130753
2018/3/29,43.89030457,216.5771637,99.63907623,103.0628662
2018/4/2,42.25847626,209.7696533,97.87326813,102.2553635
2018/4/3,42.3778801,213.4299164,98.6272049,103.9294281
2018/4/4,43.20373917,214.6434174,100.1450043,104.7861557
2018/4/5,43.85050583,215.7385559,101.2957535,105.5444031
2018/4/6,43.0146904,209.4046173,99.54978943,103.7226334
2018/4/9,42.47737885,209.9571075,98.90496826,103.0037766
2018/4/10,43.41270065,214.0711975,100.5616608,104.4020996
2018/4/11,43.58185196,211.4567413,99.99620056,104.4710388
2018/4/12,44.09926224,213.5187225,99.58946991,105.3572998
2018/4/13,44.30821609,212.6307983,99.54978943,105.6133347
2018/4/16,43.64155197,214.7815552,99.4406662,107.5828171
2018/4/17,44.49726868,217.1395111,101.3552704,107.8486938
2018/4/18,45.12413025,216.5771637,100.4029312,109.207634
2018/4/19,45.22363281,215.9161377,100.0854797,108.0062561
2018/4/20,44.77587509,214.8308716,99.4406662,106.8935013
2018/4/23,44.64651871,212.9859467,99.35138702,107.4449539
2018/4/24,44.29826355,198.4337006,98.66688538,106.5685349
2018/4/25,44.12911224,196.1743927,100.3434067,107.0018158
2018/4/26,44.01966095,194.4478302,99.04385376,111.5513153
2018/4/27,43.760952,193.4908447,98.4387207,112.2504807
2018/4/30,43.15793991,191.7840424,99.529953,111.7679596
2018/5/1,43.32738495,192.4056091,99.26210022,110.7339783
2018/5/2,43.26757813,191.8925781,98.82561493,109.4538193
2018/5/3,43.37722015,193.0567474,97.97247314,108.1342697
2018/5/4,44.24436569,196.6874237,100.3434067,109.6113739
2018/5/7,45.17131042,197.5753479,101.6628036,110.4090195
2018/5/8,46.29760742,199.0355072,100.9783096,109.5719833
2018/5/9,46.95544052,200.6929779,99.17282104,109.7000046
2018/5/10,46.96540833,202.2814026,100.8691864,112.2504807
2018/5/11,46.65642929,202.409668,101.256073,113.6881943
2018/5/14,46.2178688,203.0016174,101.6231232,114.564621
2018/5/15,46.27767181,199.6965332,102.0992966,113.8457565
2018/5/16,46.44711304,197.5260315,104.2023926,114.5449219
2018/5/17,46.55675507,199.0259705,103.5079651,114.8107986
2018/5/18,46.75609589,197.6352844,103.1012421,114.5130539
2018/5/21,47.54350662,200.4166412,103.2302017,116.2002869
2018/5/22,43.76593781,197.6452179,103.2401276,114.4932098
2018/5/23,44.21446228,197.3472137,102.0695343,114.4138031
2018/5/24,44.16462708,198.0822906,101.2957535,114.7611771
2018/5/25,44.16462708,197.7048187,101.3850327,114.6222229
2018/5/29,43.78587341,194.4367371,98.89505005,112.9747009
2018/5/30,45.07164001,197.3571472,99.18273926,115.8132172
2018/5/31,44.54338074,195.9167938,98.67680359,115.2474976
2018/6/1,45.17131042,198.2610931,98.56768036,116.3690033
2018/6/4,46.10823059,199.7212982,99.4406662,116.0911102
2018/6/5,47.11491776,199.8603668,99.14305878,115.9323044
2018/6/6,47.30429077,202.502655,101.0973511,116.1407318
2018/6/7,47.35412598,203.7046051,101.6528854,115.3169708
2018/6/8,47.47373962,205.2144775,103.1508484,115.7238846
2018/6/11,47.61327744,203.7542725,103.5178909,115.9720078
2018/6/12,48.27111053,203.555603,103.4980545,117.4508133
2018/6/13,48.49039078,203.5258026,105.4622574,116.4484024
2018/6/14,47.79268646,202.2742004,107.8828049,116.3094559
2018/6/15,47.14481735,203.6052704,107.9820023,115.8926086
2018/6/18,47.74285126,202.8105927,106.2062759,115.8926086
2018/6/19,47.16475296,198.0624237,105.2539368,113.9572601
2018/6/20,47.57341003,196.7611389,106.2955627,112.7960587
2018/6/21,47.18468475,194.2182007,105.0456085,112.5677795
2018/6/22,47.13484955,195.1916656,105.4920197,112.8456726
2018/6/25,46.24777222,194.4963226,103.6170883,109.3719711
2018/6/26,47.4438324,195.2711334,103.4286118,108.7467117
2018/6/27,46.39727783,193.6221771,103.1309967,107.5656509
2018/6/28,46.48698044,194.6651917,103.9345398,105.0844345
2018/6/29,46.33747482,195.410202,103.9742203,105.4318085
2018/7/2,46.49695206,194.2182007,104.4900818,105.0844345
2018/7/3,46.38731003,194.526123,103.2103653,104.9653397
2018/7/5,47.08501434,196.026062,104.4999924,105.4913559
2018/7/6,47.04514694,196.1452789,104.7799988,105.2333069
2018/7/9,47.93222427,199.1948242,106.0199966,107.7740707
2018/7/10,48.39071655,200.138504,106.0299988,107.6946793
2018/7/11,42.87886047,196.3638,108.0400009,106.5235443
2018/7/12,43.50679779,197.9928894,108.25,107.7145233
2018/7/13,45.49026489,199.8404999,110,108.1512222
2018/7/16,45.15137863,199.7709656,110.1999969,109.8185959
2018/7/17,46.01852417,200.7245789,110.3000031,110.2354431
2018/7/18,46.67636108,200.853714,110.6900024,111.3172531
2018/7/19,47.00081253,200.2577209,112.1299973,111.9921341
2018/7/20,46.67136765,200.6053772,111.4800034,111.2279282
2018/7/23,46.41180801,197.5160828,111.0899963,111.8631134
2018/7/24,46.32195663,199.3438263,110.6999969,111.5951462
2018/7/25,46.86104584,203.0191956,111.1800003,119.2968369
2018/7/26,47.48998642,206.5753632,113.5100021,117.9768372
2018/7/27,47.37018967,206.0389557,112.6200027,117.7684174
2018/7/30,46.46171951,203.7542725,112.6299973,117.8180313
2018/7/31,47.33025742,210.9063416,113.5599976,118.9891663
2018/8/1,46.83109665,205.6714172,112.9700012,118.46315
2018/8/2,46.73126602,204.1615448,112.75,117.7088623
2018/8/3,46.3319397,205.9098206,114.0899963,118.2547302
2018/8/6,46.47170258,205.3237457,115.9400024,118.6417999
2018/8/7,46.51163483,207.1813049,116.5599976,119.1082687
2018/8/8,46.91096497,205.7608185,113.9800034,119.6739883
2018/8/9,46.54158401,203.4165344,114.1600037,119.9618073
2018/8/10,45.96256256,200.6153107,112.6800003,118.3738251
2018/8/13,45.88269424,198.5094299,112.1200027,117.272171
2018/8/14,46.18218994,199.184906,112.75,118.0860062
2018/8/15,44.65476608,200.0491028,112.8499985,119.1479721
2018/8/16,44.26542282,201.7973785,112.4800034,120.2000046
2018/8/17,44.65476608,203.406601,112.4800034,121.8000031
2018/8/20,45.0241394,203.2377319,111.9899979,122.5500031
2018/8/21,45.91264725,204.3204803,112.3899994,123.0100021
2018/8/22,46.02246094,202.8999939,111.9400024,121.8700027
2018/8/23,45.69301605,202.75,112,121.7099991
2018/8/24,45.91264725,205.2899933,111.9300003,122.7399979
2018/8/27,46.55157089,208.3300018,112.3300018,123.8499985
2018/8/28,46.75123596,209.4299927,112.5800018,122.75
2018/8/29,46.52161789,210.4600067,112.4499969,123.4700012
2018/8/30,45.90266037,210.2200012,111.9199982,122.8499985
2018/8/31,46.59149933,210.9199982,112.0199966,122.8799973
2018/9/4,46.12229156,208.6000061,110.8499985,124.3399963
2018/9/5,45.92263031,211.8300018,109.8700027,124.6600037
2018/9/6,46.20215607,212.7400055,110.2600021,123.6999969
2018/9/7,46.01247787,212.5700073,110.9700012,122.9899979
2018/9/10,45.92263031,212.9299927,110.6800003,124.3399963
2018/9/11,42.79789352,211.7799988,109.5999985,123.0699997
2018/9/12,42.98757553,206.7100067,109.4599991,123.3000031
2018/9/13,42.67809677,209.0500031,110.6699982,119.6999969
2018/9/14,42.68807602,207.8800049,109.2600021,120.3899994
2018/9/17,43.02750397,209.5299988,109.3600006,119.0899963
2018/9/18,44.66474915,211.5299988,109.5299988,118.2399979
2018/9/19,43.70635986,213.1199951,109.7900009,118.25
2018/9/20,44.42515182,215.2700043,111.6200027,119.1200027
2018/9/21,44.83446121,216.3300018,110.4000015,118.4899979
2018/9/24,44.91432953,213.5099945,112.7699966,117.3300018
2018/9/25,45.95257568,210.6399994,113.6299973,116.2600021
2018/9/26,48.53821945,211.0700073,115.2099991,116.6999969
2018/9/27,46.1123085,210.1100006,116.0400009,116.7300034
2018/9/28,47.80944824,210.7100067,116.9400024,116.75
2018/10/1,46.14226151,212.1900024,116.2399979,117.4599991
2018/10/2,45.26374054,215.7100067,117.6600037,116.9899979
2018/10/3,46.98084641,215.7599945,116.9100037,117.7799988
2018/10/4,46.59149933,213.8399963,116.1299973,117.3099976
2018/10/5,46.18218994,213.1900024,114.7799988,117.2399979
2018/10/8,45.84276199,214.3699951,116.0199966,118.7799988
